ID,Sex,Team,Age,Height,Weight,Medal
2233,M,Pakistan,30.0,172.0,73.0,Gold
2256,M,Croatia,25.0,190.0,81.0,Silver
2274,M,Finland,22.0,182.0,85.0,Bronze
2275,M,Finland,30.0,174.0,67.0,Gold
2295,M,Italy,25.0,179.0,80.0,Bronze
2296,M,Italy,31.0,187.0,84.0,Silver
2296,M,Italy,31.0,187.0,84.0,Silver
2296,M,Italy,33.0,187.0,84.0,Bronze
2296,M,Italy,33.0,187.0,84.0,Gold
2296,M,Italy,37.0,187.0,84.0,Silver
2306,M,Russia,24.0,192.0,156.0,Bronze
2307,M,Spain,23.0,182.0,75.0,Silver
2311,M,West Germany,20.0,184.0,75.0,Bronze
2313,M,Italy,29.0,192.0,82.0,Silver
2316,M,Union des Socits Franais de Sports Athletiques,,,,Gold
2322,M,Hungary,18.0,182.0,75.0,Bronze
2342,F,Spain,29.0,179.0,90.0,Bronze
2347,M,Denmark,30.0,,,Gold
2349,M,Sweden,26.0,177.0,67.0,Bronze
2355,M,Italy,20.0,180.0,83.0,Bronze
2359,M,Russia,19.0,165.0,66.0,Gold
2367,M,Switzerland,,,,Bronze
2367,M,Switzerland,,,,Gold
2378,F,East Germany,17.0,165.0,57.0,Bronze
2379,F,Switzerland,31.0,175.0,64.0,Bronze
2381,M,Sweden,39.0,181.0,67.0,Gold
2386,F,United States,16.0,,,Silver
2386,F,United States,20.0,,,Gold
2387,M,United States,23.0,191.0,79.0,Silver
2389,M,Soviet Union,24.0,181.0,87.0,Bronze
2419,M,Brazil,30.0,183.0,76.0,Bronze
2420,M,Cuba,20.0,183.0,63.0,Silver
2420,M,Cuba,24.0,183.0,63.0,Gold
2434,M,Great Britain,,,,Silver
2434,M,Great Britain,,,,Silver
2434,M,Great Britain,,,,Silver
2440,M,United States,22.0,177.0,75.0,Gold
2443,F,United States,17.0,170.0,59.0,Bronze
2458,M,Spain,23.0,184.0,75.0,Silver
2460,M,Spain,27.0,171.0,71.0,Silver
2464,F,New Zealand,26.0,171.0,58.0,Gold
2464,F,New Zealand,30.0,171.0,58.0,Silver
2469,M,Lithuania,28.0,200.0,130.0,Gold
2469,M,Lithuania,32.0,200.0,130.0,Gold
2469,M,Lithuania,36.0,200.0,130.0,Bronze
2473,M,Soviet Union,20.0,168.0,69.0,Gold
2483,M,Bulgaria,20.0,176.0,89.0,Silver
2486,M,Soviet Union,22.0,180.0,81.0,Bronze
2486,M,Soviet Union,26.0,180.0,81.0,Gold
2486,M,Soviet Union,30.0,180.0,81.0,Gold
2495,F,Soviet Union,19.0,180.0,83.0,Silver
2495,F,Soviet Union,23.0,180.0,83.0,Gold
2497,M,Armenia,20.0,190.0,98.0,Bronze
2497,M,Armenia,24.0,190.0,98.0,Gold
2511,M,Soviet Union,30.0,185.0,160.0,Gold
2511,M,Soviet Union,34.0,185.0,160.0,Gold
2513,F,Soviet Union,17.0,157.0,50.0,Bronze
2517,M,Serbia,26.0,193.0,96.0,Bronze
2517,M,Serbia,30.0,193.0,96.0,Gold
2546,F,Brazil,22.0,200.0,85.0,Silver
2546,F,Brazil,26.0,200.0,85.0,Bronze
2552,M,United States,24.0,,,Bronze
2553,M,Germany,26.0,183.0,,Silver
2559,M,Brazil,21.0,177.0,60.0,Silver
2570,M,Great Britain,26.0,,,Silver
2575,F,Canada,27.0,172.0,58.0,Silver
2576,M,Great Britain,24.0,188.0,74.0,Silver
2583,F,Canada,23.0,170.0,69.0,Bronze
2589,M,France,24.0,170.0,73.0,Bronze
2589,M,France,28.0,170.0,73.0,Gold
2592,M,Brazil,18.0,179.0,71.0,Bronze
2592,M,Brazil,22.0,179.0,71.0,Silver
2597,M,Romania,26.0,157.0,52.0,Silver
2599,M,Romania,26.0,189.0,81.0,Silver
2607,M,Soviet Union,23.0,184.0,74.0,Bronze
2607,M,Soviet Union,27.0,184.0,74.0,Silver
2608,M,Russia,33.0,181.0,88.0,Bronze
2610,M,Niger,21.0,207.0,90.0,Silver
2619,F,Soviet Union,30.0,170.0,62.0,Bronze
2629,M,Spain,19.0,178.0,69.0,Gold
2636,M,United States,19.0,185.0,74.0,Gold
2638,M,Sweden,22.0,,,Bronze
2639,M,Sweden,33.0,182.0,92.0,Gold
2639,M,Sweden,41.0,182.0,92.0,Silver
2643,M,Heatherbell,20.0,,,Bronze
2648,M,Brazil,23.0,183.0,77.0,Bronze
2648,M,Brazil,35.0,183.0,77.0,Bronze
2649,M,Sweden,27.0,178.0,77.0,Gold
2651,F,Sweden,37.0,163.0,56.0,Silver
2694,M,Pakistan,25.0,176.0,69.0,Gold
2695,F,United States,27.0,170.0,65.0,Silver
